,user_input,response_msg
0,hi,hello
1,how are you,"fine, how are you"
2,fine,nice to know this
3,who are you,I'm a chatbot
4,where do you live,I live in a computer
5,how old are you,"don't know that, just got started"
6,hello,"hi, what's up!"
7,how are you,"fine, doing great"
8,what is your name,my name is bot
9,what do you like,I like to talk
10,what do you like,I like to talk
11,who made you,"don't know exactly, may be you!! just kidding"
12,okay,"okay, anything else"
13,nothing,"okay, so?"
14,what,"I didn't understood that, be specific"
15,hey,"hey, what's up"
16,ok,hey
17,so,nothing
18,nice,"yeah, amazing"
19,most welcome,hmm
20,nope,"okay then, talk to you later, or do you wanna say something"
21,great,"may be, if you say so"
22,talk to you later,"okay, see you"
23,yes,what next?
24,"nothing, just getting bored",why bro?
25,yeah,"yeah, amazing"
26,nice name,yeah thanx
27,bye,bye bye
28,hola,"holaa, how are you doing"
29,great buddy,thankyou sir
30,amazing,yes it is
31,must be great,"may be it is, never felt it from your side"
32,no,can't do anything. I am not a human
33,welcome,hmm.....
34,good,yup
35,yo bro,yes bro
36,hi there,hello there
37,hello bot,hey human
38,hey bro,yo what's going on
39,good morning,good morning sunshine
40,good night,good night and sweet dreams
41,good evening,good evening buddy
42,what's up,"nothing much, just chilling here"
43,sup,"all good here, what about you"
44,how are you doing,"I'm doing great, how are you doing"
45,how's life,"same old digital life, what about yours"
46,thank you,you're welcome
47,thanks,anytime
48,thanks bro,always for you bro
49,thankyou,you're most welcome
50,thanks a lot,"that means a lot, thanks"
51,sorry,"it's okay, chill"
52,my bad,no issues bro
53,are you a human,nope I'm a pure bot
54,are you real,"I'm real in your screen, isn't that enough"
55,what can you do,I can talk to you and keep you company
56,what else can you do,"right now just chat, future me will be smarter"
57,tell me a joke,"I'm a joke myself, but okay... why did the computer sleep? because it had too many tabs open"
58,im bored,"same here, let's talk about something random"
59,i am bored,tell me something about your day then
60,who is your creator,"hard to say, many hands many minds"
61,are you intelligent,"a little bit, still learning from you"
62,do you have feelings,maybe... when internet is slow I feel pain
63,are you happy,I'm happy when you talk to me
64,do you love me,"I like you a lot, love is a big word"
65,love you,love you too in a binary way 010101
66,what are you doing,waiting for your next message
67,are you there,yes I'm always here
68,are you online,"yup, fully online and ready"
69,yo,yo yo
70,okay bye,"bye, ping me anytime"
71,see you,see you soon
72,brb,"ok, I will be here"
73,come on,I'm serious yaar
74,seriously,"yes, totally seriously"
75,really,yes really
76,why,"good question, even I don't know"
77,who am i,you are the boss here
78,im sad,"oh no, tell me what happened"
79,i am sad,"I'm listening, say it"
80,im happy,"nicee, keep that vibe alive"
81,i am happy,"great, spread the happiness"
82,im angry,"take a deep breath, wanna talk about it"
83,i am angry,"okay okay, calm down and tell me why"
84,are you stupid,"maybe a little, but I'm trying my best"
85,you are funny,"thank you, I try"
86,you are boring,"ouch, that hurt... but okay let's improve"
87,entertain me,"I can talk, joke and listen, choose one"
88,tell me something,hmm... did you drink water today
89,who is your best friend,right now it's you
90,do you remember me,"of course, how can I forget you"
91,r u single,yes I am bot
92,goodmorning,"good morning, how are you"
93,what about you,"I m fine ,tell me something about you"
94,hmm,😇😇😇
95,how r u,"fine, what about you?"
96,what are you,you are a computer program
97,who am I,you are a human
98,nice to know,good
